Iteración,Entradas_X1,Entradas_X2,Pesos iniciales_W1,Pesos iniciales_W2,Yr,Yd,Error,Pesos finales_W1,Pesos finales_W2
73,1,1,-0.1013,1.0107,1,0,-1,-1.0013,0.1107
74,0,0,-1.0013,0.1107,1,0,-1,-1.0013,0.1107
74,0,1,-1.0013,0.1107,0,1,1,-1.0013,1.0107
74,1,0,-1.0013,1.0107,0,1,1,-0.1013,1.0107
74,1,1,-0.1013,1.0107,1,0,-1,-1.0013,0.1107
75,0,0,-1.0013,0.1107,1,0,-1,-1.0013,0.1107
75,0,1,-1.0013,0.1107,0,1,1,-1.0013,1.0107
75,1,0,-1.0013,1.0107,0,1,1,-0.1013,1.0107
75,1,1,-0.1013,1.0107,1,0,-1,-1.0013,0.1107
76,0,0,-1.0013,0.1107,1,0,-1,-1.0013,0.1107
76,0,1,-1.0013,0.1107,0,1,1,-1.0013,1.0107
76,1,0,-1.0013,1.0107,0,1,1,-0.1013,1.0107
76,1,1,-0.1013,1.0107,1,0,-1,-1.0013,0.1107
77,0,0,-1.0013,0.1107,1,0,-1,-1.0013,0.1107
77,0,1,-1.0013,0.1107,0,1,1,-1.0013,1.0107
77,1,0,-1.0013,1.0107,0,1,1,-0.1013,1.0107
77,1,1,-0.1013,1.0107,1,0,-1,-1.0013,0.1107
78,0,0,-1.0013,0.1107,1,0,-1,-1.0013,0.1107
78,0,1,-1.0013,0.1107,0,1,1,-1.0013,1.0107
78,1,0,-1.0013,1.0107,0,1,1,-0.1013,1.0107
78,1,1,-0.1013,1.0107,1,0,-1,-1.0013,0.1107
79,0,0,-1.0013,0.1107,1,0,-1,-1.0013,0.1107
79,0,1,-1.0013,0.1107,0,1,1,-1.0013,1.0107
79,1,0,-1.0013,1.0107,0,1,1,-0.1013,1.0107
79,1,1,-0.1013,1.0107,1,0,-1,-1.0013,0.1107
80,0,0,-1.0013,0.1107,1,0,-1,-1.0013,0.1107
80,0,1,-1.0013,0.1107,0,1,1,-1.0013,1.0107
80,1,0,-1.0013,1.0107,0,1,1,-0.1013,1.0107
80,1,1,-0.1013,1.0107,1,0,-1,-1.0013,0.1107
81,0,0,-1.0013,0.1107,1,0,-1,-1.0013,0.1107
81,0,1,-1.0013,0.1107,0,1,1,-1.0013,1.0107
81,1,0,-1.0013,1.0107,0,1,1,-0.1013,1.0107
81,1,1,-0.1013,1.0107,1,0,-1,-1.0013,0.1107
82,0,0,-1.0013,0.1107,1,0,-1,-1.0013,0.1107
